role,skills
Data Scientist,"Python,SQL,Machine Learning,Statistics,Data Analysis,Visualization"
DevOps Engineer,"AWS,Docker,Kubernetes,Git,Automation,Linux,CI/CD"
Backend Developer,"Java,Python,SQL,APIs,Git,Data Structures"
Cloud Architect,"AWS,Cloud Computing,Docker,Kubernetes,Automation,Networking"
ML Engineer,"Python,Machine Learning,TensorFlow,Data Structures,Statistics"
Data Analyst,"Python,SQL,Excel,Statistics,Data Analysis,Visualization"
Software Engineer,"Java,Python,Data Structures,Algorithms,Git,SQL"
Frontend Developer,"HTML,CSS,JavaScript,React,Git,UI Design"
Full Stack Developer,"HTML,CSS,JavaScript,React,Node.js,Python,SQL,Git"
AI Engineer,"Python,Machine Learning,Deep Learning,TensorFlow,Artificial Intelligence"
Data Engineer,"Python,SQL,ETL,Apache Spark,AWS,Data Warehousing"
Cloud Engineer,"AWS,Cloud Computing,Linux,Docker,Networking,Automation"
Cybersecurity Analyst,"Linux,Networking,Cybersecurity,Python,Security,SIEM"
Network Engineer,"Networking,Linux,Cisco,Routing,Switching,Security"
Database Administrator,"SQL,MySQL,PostgreSQL,Database Management,Linux,Backup"
Mobile App Developer,"Java,Kotlin,Android,UI Design,Git,APIs"
NLP Engineer,"Python,NLP,Machine Learning,Deep Learning,TensorFlow"
Computer Vision Engineer,"Python,OpenCV,Deep Learning,Machine Learning,TensorFlow"
QA Engineer,"Testing,Selenium,Java,Python,Automation,Git"
Site Reliability Engineer,"Linux,AWS,Kubernetes,Docker,Automation,Monitoring,Python"
